"Gene_ID	Control001	Control003	Control004	Control005	Control006	Control007	Control008	Convalescent001	Convalescent002	Convalescent003	Convalescent004	Convalescent005	LongCOVID001	LongCOVID002	LongCOVID003	LongCOVID004	LongCOVID005	LongCOVID006	LongCOVID007	LongCOVID008	LongCOVID009	LongCOVID010	LongCOVID011"
"Group	Control	Control	Control	Control	Control	Control	Control	Convalescent	Convalescent	Convalescent	Convalescent	Convalescent	LongCovid	LongCovid_BrainFog	LongCovid	LongCovid	LongCovid	LongCovid	LongCovid	LongCovid_BrainFog	LongCovid_BrainFog	LongCovid_BrainFog	LongCovid_BrainFog"
"ENSG00000003756	7.40612	7.30482	7.63219	7.44146	7.64285	7.55375	7.38075	7.89142	7.59952	7.47346	7.32311	7.58329	7.48742	7.64359	7.76769	7.34258	7.73	7.88748	7.67491	7.84873	7.26754	7.63346	7.35116"
"ENSG00000003987	1.8613	1.12338	1.38766	1.47414	1.39206	0.963061	1.98328	1.24314	1.29849	1.45231	0	0.944524	1.45723	1.07508	0.901263	1.65753	1.91518	1.49819	1.79076	0	1.54657	0.885878	1.87778"
"ENSG00000004059	8.12498	8.35766	8.0784	8.15091	8.03279	8.0062	7.97138	8.08914	8.22262	8.09849	8.3755	8.22462	8.2149	8.13939	8.02536	8.16957	8.08469	7.98372	8.39544	8.28274	8.39645	8.15977	8.10955"
"ENSG00000004139	5.29822	5.30507	5.25711	5.02066	5.30612	5.02161	5.09153	4.95462	5.02161	5.31423	5.01568	5.14006	5.06737	5.29404	5.41802	5.40413	5.12244	5.46063	5.32421	5.67847	5.04528	5.59342	4.82321"
"ENSG00000004142	7.84581	7.87803	7.76912	7.67271	7.77309	7.37341	7.37186	7.6446	7.73882	7.61251	7.80585	7.77983	7.75444	7.53944	7.73207	7.72347	7.67135	7.61794	7.76769	7.82946	7.58938	7.91355	7.51139"
"ENSG00000004399	5.63587	6.24845	5.5756	5.78438	5.64301	5.74051	5.40869	5.60673	4.90853	5.67128	5.3129	5.73869	6.13973	5.76393	5.8079	5.9814	5.50795	5.51803	5.39652	5.09652	5.95255	6.00882	6.13259"
"ENSG00000004455	7.71529	7.82247	7.65861	7.90579	7.79351	7.36831	7.02572	7.85345	7.69035	7.64022	7.86296	7.79728	7.70651	7.58783	7.67626	7.81571	7.63679	7.81451	7.57166	7.64658	7.41647	7.69359	7.06475"
"ENSG00000004468	5.49178	5.06333	5.46386	5.18649	5.7775	5.124	5.52695	5.47347	5.53291	4.29356	5.44564	5.46708	5.72892	5.79541	5.31288	5.73221	6.6786	5.37938	6.59585	5.58366	5.00181	4.85126	5.55938"
"ENSG00000004478	6.22517	6.1764	6.64972	6.52588	6.73565	6.25736	6.19754	6.69142	6.34958	6.60591	6.85606	6.90436	6.4817	6.41979	6.67763	6.60929	6.63542	6.77322	6.40797	6.39546	5.93597	6.68101	5.34962"
"ENSG00000004487	7.15987	6.95358	7.21521	7.142	7.15473	6.80322	6.59384	7.12857	6.78843	7.02495	6.76649	7.03655	6.93386	6.88655	7.22082	7.01263	7.12257	7.11882	6.83512	7.07565	6.72889	7.05686	6.8406"
"ENSG00000004534	7.17093	7.05429	7.43703	7.22045	7.2824	6.36987	6.25066	7.71658	7.24576	7.12379	7.47662	7.26856	6.90617	7.17849	7.46447	6.97631	7.09742	7.59952	7.242	7.22703	6.32801	7.23438	6.35844"
"ENSG00000004660	4.24655	4.84656	5.21779	4.67796	4.59205	5.06791	5.13408	5.12735	4.48567	4.74033	4.61644	4.65635	4.81494	4.82232	4.46624	5.2288	4.87444	4.73848	4.56555	5.1135	6.01988	4.8187	6.42906"
"ENSG00000004700	6.85943	6.14993	6.22272	6.52611	6.43899	6.11188	6.4296	6.73759	6.60582	6.85562	6.68238	6.41854	6.61538	6.4395	6.62697	6.49193	6.72806	6.73234	6.2286	6.64716	5.69448	6.39853	6.47686"
"ENSG00000004766	5.49762	5.03644	5.28839	5.36418	5.41945	5.15063	5.10545	5.52475	5.09343	5.65023	5.4421	5.27113	5.21872	5.14495	5.50217	5.22766	5.28406	5.59389	5.29106	4.82432	4.82839	5.08735	5.2288"
